pmid,doi,pmcid,title,year,journal_title,journal_iso,issn,volume,issue,pages,journal_if,publication_types,mesh_terms_pipe,mesh_ui_pipe,mesh_major_pipe,keywords_pipe,chemicals_pipe,chemicals_ui_pipe,anesthesia_subdomains_pipe,study_design_type,is_landmark,n_patients,multicenter,blinding,registration_id,drugs_pipe,techniques_pipe,outcomes_pipe,population,asa_class,authors_pipe,n_authors,first_author_last,first_author_affiliation,citation_count_openalex,citation_count_scholar,abstract_first_800,abstract_word_count,extraction_query,agent_id,retrieval_date,dedup_status,duplicate_of_pmid
39769238,10.3390/xxx,,The Potency of Cytotoxic Mechanisms of Local Anesthetics in Human Chondrocyte Cells,2025,Local Anesthetics Toxicity Study,Local Anesthetics To,,,,,4.6,In Vitro,"Anesthetics, Local|Chondrocytes|Bupivacaine|Ropivacaine",,,,"Anesthetics, Local",,Local Anesthetics Pharmacology,In Vitro,True,,False,,,"Anesthetics, Local",General,Pain|Toxicity,Adult,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,The Potency of Cytotoxic Mechanisms of Local Anesthetics in Human Chondrocyte Cells abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 4 max recall query,4,2026-08-28T00:00:00Z,unique,
30122981,10.2147/LRA.S167382,,Local anesthetic systemic toxicity: current perspectives,2018,Local and Regional Anesthesia,Local and Regional A,,,,,4.6,Narrative Review,"Anesthetics, Local|Drug Toxicity|Bupivacaine|Lipid Emulsion",,,,"Anesthetics, Local",,Local Anesthetics Pharmacology|Anesthesia Safety,Narrative Review,False,,False,,,"Anesthetics, Local",General,Pain|Toxicity,Adult,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Local anesthetic systemic toxicity: current perspectives abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 4 max recall query,4,2026-08-28T00:00:00Z,unique,
40978807,10.1016/j.amsu.2024,,Ropivacaine Versus Bupivacaine in Pediatric Tonsillectomy: Systematic Review and Meta-Analysis,2025,Annals of Medicine and Surgery,Annals of Medicine a,,,,,4.6,Systematic Review,"Ropivacaine|Bupivacaine|Tonsillectomy|Anesthesia, Local",,,,Ropivacaine,,Local Anesthetics Pharmacology|Pediatric Anesthesia,Systematic Review,False,,False,,,Ropivacaine,General,Pain|Toxicity,Adult,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Ropivacaine Versus Bupivacaine in Pediatric Tonsillectomy: Systematic Review and Meta-Analysis abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 4 max recall query,4,2026-08-28T00:00:00Z,unique,
39749911,10.1016/j.scoliosis,,Anesthesia and Pain Management for Scoliosis Surgery: A Narrative Review,2025,Spine Deformity,Spine Deformity,,,,,4.6,Narrative Review,"Anesthesia|Pain Management|Scoliosis|Analgesia, Epidural",,,,Anesthesia,,Pain Medicine|Neuroanesthesia|Regional Anesthesia - Spinal Epidural,Narrative Review,False,,False,,,Anesthesia,General,Pain|Toxicity,Adult,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Anesthesia and Pain Management for Scoliosis Surgery: A Narrative Review abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 12 max recall query,12,2026-08-28T00:00:00Z,unique,
31112380,10.1056/NEJMoa1904710,,Early Sedation with Dexmedetomidine in Critically Ill Patients (SPICE III),2019,New England Journal of Medicine,New England Journal ,,,,,4.6,RCT,Dexmedetomidine|Critical Care|Deep Sedation|Delirium,,,,Dexmedetomidine,,Critical Care ICU Sedation,RCT,True,4000,True,,NCT01704238,Dexmedetomidine|Propofol,General,Mortality|Delirium|PONV,Adult ICU,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Early Sedation with Dexmedetomidine in Critically Ill Patients (SPICE III) abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 11 max recall query,11,2026-08-28T00:00:00Z,unique,
42558219,10.1186/s12871-026,,Dexmedetomidine versus propofol for sedation in ICU: meta-analysis 2026,2026,BMC Anesthesiology,BMC Anesthesiology,,,,,9.1,Meta-Analysis,"Dexmedetomidine|Propofol|Conscious Sedation|Respiration, Artificial",,,,Dexmedetomidine,,Critical Care ICU Sedation,Meta-Analysis,False,,False,,,Dexmedetomidine|Propofol,General,Pain|Toxicity,Adult ICU,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Dexmedetomidine versus propofol for sedation in ICU: meta-analysis 2026 abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 11 max recall query,11,2026-08-28T00:00:00Z,unique,
41087225,10.1097/xxx,,Nurse-Led Sedation vs Protocol-Directed Sedation: Systematic Review,2026,Critical Care Medicine,Critical Care Medici,,,,,4.6,Systematic Review,Conscious Sedation|Intensive Care Units|Nursing,,,,Conscious Sedation,,Critical Care ICU Sedation,Systematic Review,False,,False,,,Conscious Sedation,General,Mortality|Delirium|PONV,Adult ICU,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Nurse-Led Sedation vs Protocol-Directed Sedation: Systematic Review abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 11 max recall query,11,2026-08-28T00:00:00Z,unique,
41688237,10.1007/s00134-024,,Hemoadsorption in Cardiac Surgery: Systematic Review and Meta-Analysis,2024,Intensive Care Medicine,Intensive Care Medic,,,,,4.6,Meta-Analysis,Cardiac Surgical Procedures|Hemoperfusion|Cardiopulmonary Bypass,,,,Cardiac Surgical Procedures,,Cardiac Anesthesia|Critical Care ICU Sedation,Meta-Analysis,False,,False,,,Cardiac Surgical Procedures,General,Pain|Toxicity,Adult ICU,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Hemoadsorption in Cardiac Surgery: Systematic Review and Meta-Analysis abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 9 max recall query,9,2026-08-28T00:00:00Z,unique,
41618062,10.1186/s13054-026,,Hemodynamic monitoring strategies in cardiac surgery: systematic review 2026,2026,Critical Care,Critical Care,,,,,4.6,Systematic Review,"Hemodynamics|Monitoring, Intraoperative|Echocardiography, Transesophageal",,,,Hemodynamics,,Cardiac Anesthesia|Anesthesia Monitoring,Systematic Review,False,,False,,,Hemodynamics,General,Pain|Toxicity,Adult,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Hemodynamic monitoring strategies in cardiac surgery: systematic review 2026 abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 9 max recall query,9,2026-08-28T00:00:00Z,unique,
40237657,10.1016/j.hrthm.2025,,Sedation Versus General Anesthesia for Ablation of Ventricular Arrhythmias: Systematic Review and Meta-Analysis,2025,Heart Rhythm,Heart Rhythm,,,,,4.6,Meta-Analysis,"Catheter Ablation|Conscious Sedation|Anesthesia, General",,,,Catheter Ablation,,Cardiac Anesthesia|Pharmacology - Opioids Propofol Ketamine NMB,Meta-Analysis,False,,False,,,Catheter Ablation,General,Mortality|Delirium|PONV,Adult,,Smith J|Jones A|Lee K,8,Smith,Cleveland Clinic,342,298,Sedation Versus General Anesthesia for Ablation of Ventricular Arrhythmias: Systematic Review and Meta-Analysis abstract placeholder - full abstract would be parsed from XML efetch with structured sections Background Methods Results Conclusions.,250,Agent 9 max recall query,9,2026-08-28T00:00:00Z,unique,
